月份,品类,品类区别,例子数,首单数,转化率,首单流水,ltv,3月例子数,月份,品类,品类区别,例子数,首单数,转化率,首单流水,ltv
2026-03,健康食养,正式品,"1,774",112,6.31%,"226,433",127.64,,,,,,,,,
2026-03,养正变美,正式品,16,2,12.50%,"4,690",293.13,,,,,,,,,
2026-03,古法居家养生,正式品,163,2,1.23%,"2,597",15.93,,,,,,,,,
2026-03,君合太极,正式品,527,35,6.64%,"61,470",116.64,,,,,,,,,
2026-03,唱歌,正式品,635,50,7.87%,"95,342",150.14,,,,,,,,,
2026-03,国学朗诵,正式品,441,23,5.22%,"40,370",91.54,,,,,,,,,
2026-03,国际声乐,正式品,"2,455",146,5.95%,"153,974",62.72,,,,,,,,,
2026-03,太极,正式品,"1,536",68,4.43%,"129,038",84.01,,,,,,,,,
2026-03,戏曲,孵化品,149,21,14.09%,"32,390",217.38,,,,,,,,,
2026-03,手机摄影,正式品,270,29,10.74%,"52,910",195.96,,,,,,,,,
2026-03,摄影美学,正式品,365,24,6.58%,"28,004",76.72,,,,,,,,,
2026-03,普拉提,正式品,778,106,13.62%,"172,656",221.92,,,,,,,,,
2026-03,气血调理,正式品,112,12,10.71%,"25,034",223.52,,,,,,,,,
2026-03,瑜伽,正式品,133,17,12.78%,"38,354",288.38,,,,,,,,,
2026-03,电子琴,孵化品,49,9,18.37%,"14,898",304.04,,,,,,,,,
2026-03,相机摄影,正式品,251,14,5.58%,"26,824",106.87,,,,,,,,,
2026-03,真书法,孵化品,121,3,2.48%,"5,264",43.5,,,,,,,,,
2026-03,睡眠调理,正式品,"1,889",137,7.25%,"207,069",109.62,,,,,,,,,
2026-03,短视频,正式品,"1,618",96,5.93%,"204,013",126.09,,,,,,,,,
2026-03,编织工艺美学,孵化品,55,18,32.73%,"27,666",503.02,,,,,,,,,
2026-03,美学收纳,孵化品,42,8,19.05%,"3,681",87.64,,,,,,,,,
2026-03,舞蹈,正式品,37,3,8.11%,"5,559",150.24,,,,,,,,,
2026-03,茶道,正式品,119,16,13.45%,"40,876",343.5,,,,,,,,,
2026-03,逆龄女神瑜伽,正式品,314,14,4.46%,"24,576",78,,,,,,,,,
2026-03,键盘乐,孵化品,69,16,23.19%,"28,601",414.51,,,,,,,,,
2026-03,面部瑜伽驻颜,正式品,58,8,0.137931034,17574,303,,,,,,,,,
2026-03,风光摄影,正式品,281,13,0.046263345,15548,55.33096085,,,,,,,,,
